,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_4,topic_4,count_topic_1,topic_1,count_topic_0,topic_0,count_topic_2,topic_2,count_topic_3,topic_3
15090,Eunbee K,2019-10-01,PreCovid,5,3.0,"[[pool, great, 2]]",,,,,,,1.0,0.8,,
15091,I3578LWmail,2019-10-01,PreCovid,5,5.0,"[[staff, better, 0]]",,,,,1.0,0.5,,,,
15092,Karina-in-Singapore,2019-10-01,PreCovid,5,5.0,"[[friendli, super, 3], [friendli, clean, 3], [room, nice, 2], [restaur, great, 1], [price, worth, 2]]",,,1.0,0.8,,,2.0,0.44999999999999996,2.0,0.35
15093,Mike6258,2019-10-01,PreCovid,5,5.0,"[[hotel, great, 1], [hotel, best, 1], [night, colleagu, 0], [night, spectacular, 0], [friendli, impecc, 3], [hotel, great, 1]]",,,3.0,0.8666666666666667,2.0,0.3,,,1.0,0.0
15094,chipper9,2019-10-01,PreCovid,5,5.0,"[[stay, great, 0], [view, great, 0], [breakfast, easi, 1], [shop, great, 1], [mall, bigger, 1]]",,,3.0,0.26666666666666666,2.0,0.8,,,,
15095,GGG12342017,2019-10-01,PreCovid,5,5.0,"[[view, great, 0], [club, singapor, 0]]",,,,,2.0,0.4,,,,
15096,Jslim,2019-10-01,PreCovid,5,4.0,"[[staff, great, 0]]",,,,,1.0,0.8,,,,
15097,daviesjr2019,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15098,Konrad Z,2019-02-01,PreCovid,5,5.0,"[[hotel, enough, 1], [staff, 'ever friendli', 0]]",,,1.0,0.0,1.0,0.0,,,,
15099,Debbie S,2019-09-01,PreCovid,5,5.0,"[[club, pure, 0], [view, brilliant, 0], [food, singapor, 3]]",,,,,2.0,0.5571428571428572,,,1.0,0.0
15100,maw747,2019-10-01,PreCovid,5,4.0,[],,,,,,,,,,
15101,Alexandra M,2019-10-01,PreCovid,5,5.0,"[[club, extra, 0], [breakfast, better, 1], [floor, top, 2], [friendli, super, 3]]",,,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.3333333333333333
15102,Win Gatchalian,2019-06-01,PreCovid,5,4.0,"[[hotel, perfect, 1]]",,,1.0,1.0,,,,,,
15103,pobud2,2019-10-01,PreCovid,5,5.0,"[[time, close, 4], [time, major, 4]]",2.0,0.03125,,,,,,,,
15104,834zaidi,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15105,Kamil G,2019-09-01,PreCovid,5,5.0,"[[hotel, great, 1]]",,,1.0,0.8,,,,,,
15106,Mike D,2019-10-01,PreCovid,5,5.0,"[[room, great, 2], [view, great, 0], [citi, brilliant, 1], [citi, 'also brilliant', 1]]",,,2.0,0.9,1.0,0.8,1.0,0.8,,
15107,celinda777,2019-09-01,PreCovid,5,5.0,"[[singapor, perfect, 0], [staff, perfect, 0]]",,,,,2.0,1.0,,,,
15108,Sbytvl,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15109,george k,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15110,Cindy,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15111,rashdas332,2019-09-01,PreCovid,5,5.0,"[[hotel, great, 1]]",,,1.0,0.8,,,,,,
15112,weliwegama,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15113,ReCi1,2019-10-01,PreCovid,5,4.0,"[[pool, swim, 2], [time, slow, 4]]",1.0,-0.30000000000000004,,,,,1.0,0.0,,
15114,hamzadalal,2019-08-01,PreCovid,5,5.0,"[[mall, close, 1]]",,,1.0,0.0,,,,,,
15115,tanandmarcuss,2019-09-01,PreCovid,5,5.0,"[[room, quick, 2]]",,,,,,,1.0,0.3333333333333333,,
15116,01Ans23,2019-10-01,PreCovid,5,5.0,"[[hotel, great, 1], [room, suntec, 2], [hotel, morn, 1], [breakfast, swim, 1], [breakfast, morn, 1]]",,,4.0,0.2,,,1.0,0.0,,
15117,pdpledger,2019-09-01,PreCovid,5,5.0,"[[stay, great, 0], [stay, 'alway great', 0], [pool, great, 2]]",,,,,2.0,0.8,1.0,0.8,,
15118,Clint B,2019-09-01,PreCovid,5,5.0,"[[time, first, 4], [staff, great, 0], [view, best, 0], [room, close, 2]]",1.0,0.25,,,2.0,0.9,1.0,0.0,,
15119,David F,2019-09-01,PreCovid,5,4.0,"[[hotel, great, 1], [hotel, central, 1], [love, twice, 0], [room, great, 2], [room, great, 2]]",,,2.0,0.4,1.0,0.5,2.0,0.8,,
15120,patricknussbaumer,2019-09-01,PreCovid,5,5.0,"[[hotel, singapor, 1]]",,,1.0,0.0,,,,,,
15121,Keith791,2019-10-01,PreCovid,5,5.0,"[[time, key, 4]]",1.0,0.0,,,,,,,,
15122,W6252UIbrianc,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15123,Julia W,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15124,A1041TKAlexS,2019-09-01,PreCovid,5,5.0,"[[singapor, best, 0], [enjoy, major, 3], [floor, top, 2], [breakfast, particular, 1], [view, execut, 0], [view, 'much execut', 0], [view, everi, 0], [view, morn, 0]]",,,1.0,0.16666666666666666,5.0,0.24,1.0,0.5,1.0,0.23125
15125,hhextall13,2019-10-01,PreCovid,5,5.0,"[[check, great, 4], [night, late, 0]]",1.0,0.8,,,1.0,-0.3,,,,
15126,Dion,2019-10-01,PreCovid,5,5.0,"[[visit, quick, 0], [time, first, 4], [view, best, 0], [staff, singapor, 0]]",1.0,0.25,,,3.0,0.4444444444444444,,,,
15127,jare34,2019-10-01,PreCovid,5,5.0,"[[hotel, great, 1], [room, singapor, 2]]",,,1.0,0.8,,,1.0,0.0,,
15128,helen,2019-10-01,PreCovid,5,5.0,"[[hotel, modern, 1]]",,,1.0,0.2,,,,,,
15129,worldglobal,2019-10-01,PreCovid,5,4.0,"[[room, ideal, 2], [room, neighbour, 2], [view, great, 0]]",,,,,1.0,0.8,2.0,0.45,,
15130,Anogite,2019-10-01,PreCovid,5,5.0,"[[room, clean, 2], [view, ideal, 0]]",,,,,1.0,0.9,1.0,0.3666666666666667,,
15131,sonia w,2019-10-01,PreCovid,5,5.0,"[[night, good, 0]]",,,,,1.0,0.7,,,,
15132,John H,2019-08-01,PreCovid,5,3.0,[],,,,,,,,,,
15133,Jeanye,2019-09-01,PreCovid,5,5.0,"[[walk, less, 1], [walk, min, 1], [room, special, 2]]",,,2.0,-0.08333333333333333,,,1.0,0.35714285714285715,,
15134,Del D,2019-09-01,PreCovid,5,3.0,"[[room, larger, 2]]",,,,,,,1.0,0.0,,
15135,Lisa C,2019-10-01,PreCovid,5,5.0,"[[room, execut, 2]]",,,,,,,1.0,0.0,,
15136,Ankush Sharma,2019-10-01,PreCovid,5,5.0,"[[hotel, 'sure write', 1], [time, everi, 4], [staff, hous, 0], [room, open, 2]]",1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,,
15137,Trek262951,2019-09-01,PreCovid,5,5.0,"[[friendli, singapor, 3], [food, great, 3], [night, late, 0], [room, bigger, 2], [time, next, 4]]",1.0,0.0,,,1.0,-0.3,1.0,0.0,2.0,0.4
15138,Harshrk,2019-10-01,PreCovid,5,4.0,"[[staff, old, 0], [staff, good, 0], [food, old, 3]]",,,,,2.0,0.39999999999999997,,,1.0,0.1
15139,benlyng,2019-09-01,PreCovid,5,5.0,"[[shop, choic, 1], [citi, besid, 1], [citi, 'right besid', 1], [citi, suntec, 1]]",,,4.0,0.07142857142857142,,,,,,
15140,Raul C,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15141,lheath12019,2019-09-01,PreCovid,5,5.0,"[[help, pleasant, 3], [visit, next, 0]]",,,,,1.0,0.0,,,1.0,0.7333333333333333
15142,cloudstar91,2019-10-01,PreCovid,5,5.0,"[[room, clean, 2], [room, big, 2], [time, next, 4]]",1.0,0.0,,,,,2.0,0.18333333333333335,,
15143,Guest048,2019-05-01,PreCovid,5,5.0,"[[room, nice, 2], [cake, small, 3]]",,,,,,,1.0,0.6,1.0,-0.25
15144,cedco,2019-10-01,PreCovid,5,5.0,"[[view, great, 0], [time, next, 4]]",1.0,0.0,,,1.0,0.8,,,,
15145,wenche71,2019-10-01,PreCovid,5,4.0,"[[hotel, good, 1]]",,,1.0,0.7,,,,,,
15146,save3900,2019-10-01,PreCovid,5,5.0,"[[friendli, super, 3], [view, nice, 0]]",,,,,1.0,0.6,,,1.0,0.3333333333333333
15147,Yongduk C,2019-10-01,PreCovid,5,4.0,"[[friendli, good, 3]]",,,,,,,,,1.0,0.7
15148,CBE,2019-10-01,PreCovid,5,5.0,"[[room, true, 2], [breakfast, best, 1], [hotel, everi, 1]]",,,2.0,0.5,,,1.0,0.35,,
15149,Sharad_Goyal35000,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15150,PaulH2307,2019-10-01,PreCovid,5,5.0,"[[time, good, 4], [floor, right, 2]]",1.0,0.7,,,,,1.0,0.2857142857142857,,
15151,Mrs U Bello,2019-08-01,PreCovid,5,1.0,"[[hotel, worst, 1], [hotel, 'far worst', 1]]",,,2.0,-0.725,,,,,,
15152,163tracyj,2019-10-01,PreCovid,5,5.0,"[[view, nice, 0], [pool, next, 2], [peopl, good, 2]]",,,,,1.0,0.6,2.0,0.35,,
15153,thefunguy,2019-09-01,PreCovid,5,5.0,"[[time, great, 4]]",1.0,0.8,,,,,,,,
15154,Sharon M,2019-10-01,PreCovid,5,5.0,"[[staff, quick, 0], [day, good, 4], [day, advic, 4], [day, next, 4]]",3.0,0.2333333333333333,,,1.0,0.3333333333333333,,,,
15155,edgwee,2019-09-01,PreCovid,5,5.0,"[[view, great, 0]]",,,,,1.0,0.8,,,,
15156,Sven-Oliver J,2019-08-01,PreCovid,5,5.0,"[[friendli, super, 3], [hotel, whole, 1], [view, perfect, 0], [singapor, choic, 0]]",,,1.0,0.2,2.0,0.5,,,1.0,0.3333333333333333
15157,SydneyVaughn,2019-08-01,PreCovid,5,4.0,"[[restaur, easi, 1], [restaur, great, 1], [stay, 'first second', 0]]",,,2.0,0.4,1.0,0.125,,,,
15158,angela v,2019-09-01,PreCovid,5,5.0,"[[loung, singapor, 0], [loung, huge, 0]]",,,,,2.0,0.20000000000000004,,,,
15159,Linda H,2019-09-01,PreCovid,5,4.0,"[[breakfast, great, 1], [room, huge, 2]]",,,1.0,0.8,,,1.0,0.4000000000000001,,
15160,Scenic672503,2019-09-01,PreCovid,5,3.0,"[[room, unfair, 2]]",,,,,,,1.0,-0.5,,
15161,Cathy Yuna C,2019-09-01,PreCovid,5,5.0,"[[room, servic, 2], [room, great, 2], [floor, high, 2], [citi, nice, 1], [mall, ideal, 1]]",,,2.0,0.75,,,3.0,0.32,,
15162,stephenmaull,2019-10-01,PreCovid,5,5.0,[],,,,,,,,,,
15163,Marta C,2019-09-01,PreCovid,5,5.0,"[[walk, servic, 1], [walk, good, 1], [walk, nice, 1], [day, shoppingmal, 4]]",1.0,0.0,3.0,0.4333333333333333,,,,,,
15164,hotcacao,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15165,SEBA666,2019-09-01,PreCovid,5,2.0,"[[room, better, 2]]",,,,,,,1.0,0.5,,
15166,MyMatahari,2019-09-01,PreCovid,5,4.0,"[[view, splendid, 0], [day, long, 4], [shop, close, 1], [time, enough, 4]]",2.0,-0.025,1.0,0.0,1.0,0.8333333333333334,,,,
15167,SAMie,2019-10-01,PreCovid,5,5.0,"[[night, last, 0]]",,,,,1.0,0.0,,,,
15168,Getaway299551,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15169,JGP07,2019-09-01,PreCovid,5,5.0,"[[view, big, 0], [view, clean, 0], [breakfast, great, 1], [hotel, insid, 1]]",,,2.0,0.4,2.0,0.18333333333333335,,,,
15170,Taiy Orbeta A,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15171,FrequentFlier811573,2019-09-01,PreCovid,5,5.0,"[[room, upgrad, 2], [room, execut, 2], [mall, good, 1], [mall, big, 1]]",,,2.0,0.35,,,2.0,0.0,,
15172,glentro,2019-09-01,PreCovid,5,5.0,"[[stay, short, 0], [stay, sweet, 0], [stay, usual, 0], [stay, singapor, 0], [stay, short, 0], [room, great, 2], [view, great, 0]]",,,,,6.0,0.15,1.0,0.8,,
15173,adamliewwl,2019-09-01,PreCovid,5,2.0,"[[stay, recent, 0], [time, high, 4]]",1.0,0.16,,,1.0,0.0,,,,
15174,Mei81,2019-09-01,PreCovid,5,5.0,"[[club, best, 0], [view, great, 0], [time, intim, 4], [time, exclus, 4]]",2.0,0.0,,,2.0,0.9,,,,
15175,Eva,2019-09-01,PreCovid,5,4.0,"[[help, familiar, 3]]",,,,,,,,,1.0,0.375
15176,Tofucanbefun,2019-09-01,PreCovid,5,5.0,"[[room, impecc, 2], [room, harbourfront, 2], [floor, top, 2], [bathroom, modern, 2]]",,,,,,,4.0,0.175,,
15177,Muhammad Ridhwan,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15178,Agnès L,2019-08-01,PreCovid,5,5.0,"[[room, servic, 2]]",,,,,,,1.0,0.0,,
15179,Tina S,2019-09-01,PreCovid,5,5.0,"[[stay, previous, 0], [view, cool, 0]]",,,,,2.0,0.09166666666666666,,,,
15180,Marcocecchi,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15181,Taj Imran,2019-02-01,PreCovid,5,4.0,"[[bathroom, biggest, 2], [mall, good, 1]]",,,1.0,0.7,,,1.0,0.0,,
15182,extriathlete,2019-09-01,PreCovid,5,4.0,"[[hotel, smart, 1], [day, good, 4]]",1.0,0.7,1.0,0.21428571428571427,,,,,,
15183,Warren,2019-09-01,PreCovid,5,5.0,"[[shop, orchard, 1], [view, great, 0], [breakfast, choic, 1], [stay, great, 0]]",,,2.0,0.0,2.0,0.8,,,,
15184,mdshafiq,2019-09-01,PreCovid,5,4.0,[],,,,,,,,,,
15185,Suarez07,2019-09-01,PreCovid,5,5.0,"[[walk, short, 1]]",,,1.0,0.0,,,,,,
15186,janjan64,2019-09-01,PreCovid,5,5.0,"[[help, pleasant, 3]]",,,,,,,,,1.0,0.7333333333333333
15187,Mohsen Sorour,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15188,Lynn M,2019-09-01,PreCovid,5,5.0,"[[cake, much, 3]]",,,,,,,,,1.0,0.2
15189,Timothy R,2019-09-01,PreCovid,5,5.0,"[[stay, previous, 0], [breakfast, tabl, 1], [breakfast, servic, 1], [bay, 'best view', 0]]",,,2.0,0.0,2.0,0.4166666666666667,,,,
15190,dockbay,2019-09-01,PreCovid,5,5.0,"[[time, everi, 4]]",1.0,0.0,,,,,,,,
15191,GB,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15192,224dennis,2019-09-01,PreCovid,5,4.0,[],,,,,,,,,,
15193,Junhao K,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15194,Scottish_traveller1991,2019-09-01,PreCovid,5,5.0,"[[night, enjoy, 0], [room, recent, 2], [view, great, 0]]",,,,,2.0,0.6000000000000001,1.0,0.0,,
15195,MeenB,2019-07-01,PreCovid,5,5.0,"[[room, best, 2], [staff, singapor, 0]]",,,,,1.0,0.0,1.0,1.0,,
15196,Pati,2019-09-01,PreCovid,5,5.0,"[[room, singapor, 2], [room, nice, 2], [room, big, 2], [room, clean, 2], [hotel, servic, 1], [hotel, whole, 1], [stay, great, 0]]",,,2.0,0.1,1.0,0.8,4.0,0.24166666666666667,,
15197,John H,2019-09-01,PreCovid,5,5.0,"[[room, servic, 2], [floor, 'best th', 2]]",,,,,,,2.0,0.5,,
15198,villards,2019-08-01,PreCovid,5,5.0,"[[floor, fit, 2], [food, hot, 3]]",,,,,,,1.0,0.4,1.0,0.25
15199,Cathryn C,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15200,Hotlip,2019-09-01,PreCovid,5,4.0,"[[time, great, 4]]",1.0,0.8,,,,,,,,
15201,Katalin,2019-02-01,PreCovid,5,5.0,"[[visit, 'even return', 0], [manag, everi, 4]]",1.0,0.0,,,1.0,0.0,,,,
15202,Art_Dealer_Auckland,2019-09-01,PreCovid,5,5.0,"[[room, great, 2], [thank, special, 3]]",,,,,,,1.0,0.8,1.0,0.35714285714285715
15203,Gr81mate,2019-09-01,PreCovid,5,3.0,"[[time, unfortun, 4], [room, higher, 2], [time, long, 4], [club, dedic, 0]]",2.0,-0.025,,,1.0,0.0,1.0,0.25,,
15204,Sebastroaming,2019-09-01,PreCovid,5,5.0,"[[room, experi, 2], [stay, good, 0], [stay, overal, 0], [stay, experi, 0], [stay, pleasant, 0]]",,,,,4.0,0.3583333333333333,1.0,0.0,,
15205,laingfamily,2019-09-01,PreCovid,5,5.0,"[[staff, great, 0]]",,,,,1.0,0.8,,,,
15206,Emmy,2019-09-01,PreCovid,5,3.0,"[[check, 'faster express', 4]]",1.0,0.0,,,,,,,,
15207,Rosie E,2019-09-01,PreCovid,5,5.0,"[[breakfast, great, 1], [food, wide, 3], [food, varieti, 3]]",,,1.0,0.8,,,,,2.0,-0.05
15208,mohd ismail,2019-09-01,PreCovid,5,5.0,"[[hotel, singapor, 1]]",,,1.0,0.0,,,,,,
15209,Stanley K,2019-09-01,PreCovid,5,5.0,"[[night, last, 0], [servic, good, 3]]",,,,,1.0,0.0,,,1.0,0.7
15210,conjuror88,2019-09-01,PreCovid,5,5.0,"[[shop, nice, 1], [shop, small, 1]]",,,2.0,0.175,,,,,,
15211,A.l,2019-08-01,PreCovid,5,5.0,"[[room, 'amaz hotel', 2]]",,,,,,,1.0,0.0,,
15212,heb999,2019-04-01,PreCovid,5,5.0,[],,,,,,,,,,
15213,Charan Raj deva,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15214,avers14,2019-07-01,PreCovid,5,5.0,"[[friendli, special, 3]]",,,,,,,,,1.0,0.35714285714285715
15215,Lani B,2019-08-01,PreCovid,5,5.0,"[[hotel, great, 1]]",,,1.0,0.8,,,,,,
15216,C3441YPcolinr,2019-08-01,PreCovid,5,5.0,"[[view, ideal, 0]]",,,,,1.0,0.9,,,,
15217,RickyJ62,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15218,ozhelen63,2019-09-01,PreCovid,5,3.0,"[[bed, hard, 2], [food, nice, 3], [bed, difficult, 2], [bed, hard, 2], [day, best, 4], [bed, hard, 2]]",1.0,1.0,,,,,4.0,-0.34375000000000006,1.0,0.6
15219,grahamdc2019,2019-08-01,PreCovid,5,5.0,"[[time, long, 4], [staff, long, 0]]",1.0,-0.05,,,1.0,-0.05,,,,
15220,Mandy & Gary,2019-08-01,PreCovid,5,5.0,"[[view, best, 0], [day, modern, 4], [day, clean, 4]]",2.0,0.2833333333333333,,,1.0,1.0,,,,
15221,amy Lauren,2019-08-01,PreCovid,5,5.0,"[[help, super, 3], [pool, great, 2]]",,,,,,,1.0,0.8,1.0,0.3333333333333333
15222,JJ0616,2019-09-01,PreCovid,5,5.0,[],,,,,,,,,,
15223,David-McNiven,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15224,Kim G,2019-08-01,PreCovid,5,4.0,"[[mall, close, 1], [day, long, 4], [breakfast, good, 1]]",1.0,-0.05,2.0,0.35,,,,,,
15225,T D,2019-08-01,PreCovid,5,2.0,"[[visit, fifth, 0], [visit, final, 0], [time, fifth, 4], [room, previous, 2], [time, brilliant, 4]]",2.0,0.45,,,2.0,0.0,1.0,-0.16666666666666666,,
15226,Simon & Rebecca,2019-08-01,PreCovid,5,5.0,"[[peopl, great, 2]]",,,,,,,1.0,0.8,,
15227,FilippoFumi Italy,2019-08-01,PreCovid,5,4.0,[],,,,,,,,,,
15228,keroro7,2019-08-01,PreCovid,5,4.0,"[[arriv, perfect, 4], [visit, second, 0], [staff, pleasant, 0], [staff, overal, 0], [staff, nice, 0], [mall, big, 1], [restaur, next, 1], [restaur, 'right next', 1]]",1.0,1.0,3.0,0.047619047619047616,4.0,0.3333333333333333,,,,
15229,Singh1234,2019-08-01,PreCovid,5,5.0,"[[staff, everi, 0], [view, clean, 0]]",,,,,2.0,0.18333333333333335,,,,
15230,Jawaher,2019-08-01,PreCovid,5,4.0,"[[hotel, perfect, 1]]",,,1.0,1.0,,,,,,
15231,chan8989,2019-08-01,PreCovid,5,3.0,"[[check, unansw, 4], [day, discoveri, 4], [check, late, 4], [time, standard, 4], [time, altern, 4], [room, full, 2]]",5.0,-0.06,,,,,1.0,0.35,,
15232,alokjalan,2019-08-01,PreCovid,5,4.0,"[[hotel, good, 1], [bay, close, 0], [view, good, 0]]",,,1.0,0.7,2.0,0.35,,,,
15233,OrvistheDog,2019-08-01,PreCovid,5,4.0,"[[staff, nice, 0], [stay, short, 0]]",,,,,2.0,0.3,,,,
15234,Judy C,2019-08-01,PreCovid,5,5.0,"[[view, servic, 0]]",,,,,1.0,0.0,,,,
15235,cats254,2019-08-01,PreCovid,5,4.0,"[[room, good, 2], [room, nice, 2], [hotel, nice, 1], [price, top, 2]]",,,1.0,0.6,,,3.0,0.6,,
15236,jennyclairef,2019-08-01,PreCovid,5,4.0,"[[room, bottom, 2], [restaur, big, 1]]",,,1.0,0.0,,,1.0,0.0,,
15237,spt2,2019-07-01,PreCovid,5,5.0,"[[friendli, great, 3], [friendli, servic, 3], [staff, honest, 0], [time, singapor, 4], [visit, recent, 0], [room, close, 2], [room, togeth, 2], [room, much, 2], [bed, clean, 2], [bed, best, 2]]",1.0,0.0,,,2.0,0.3,5.0,0.31333333333333335,2.0,0.4
15238,MrsSeow,2019-08-01,PreCovid,5,4.0,[],,,,,,,,,,
15239,Jessie L,2019-08-01,PreCovid,5,2.0,"[[room, extra, 2], [call, refresh, 4]]",1.0,0.0,,,,,1.0,0.0,,
15240,Krzysztof B,2019-08-01,PreCovid,5,5.0,"[[hotel, great, 1]]",,,1.0,0.8,,,,,,
15241,Julie M,2019-08-01,PreCovid,5,5.0,"[[pool, great, 2], [room, great, 2], [breakfast, toiletri, 1]]",,,1.0,0.0,,,2.0,0.8,,
15242,Dean S,2019-08-01,PreCovid,5,5.0,"[[hotel, great, 1], [team, good, 3], [help, great, 3], [room, rememb, 2], [bed, spare, 2], [room, main, 2], [hotel, open, 1], [singapor, great, 0]]",,,2.0,0.4,1.0,0.8,3.0,0.05555555555555555,2.0,0.75
15243,GlobalTravelJunckie,2019-08-01,PreCovid,5,5.0,"[[pool, 'well creat', 2], [pool, warm, 2]]",,,,,,,2.0,0.3,,
15244,ktran95829,2019-08-01,PreCovid,5,1.0,"[[room, experi, 2], [room, bad, 2], [room, experi, 2], [bathroom, bad, 2], [room, second, 2]]",,,,,,,5.0,-0.2799999999999999,,
15245,688jersey,2019-07-01,PreCovid,5,5.0,"[[staff, great, 0], [hotel, great, 1]]",,,1.0,0.8,1.0,0.8,,,,
15246,Darren H,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15247,Martin G,2019-08-01,PreCovid,5,5.0,"[[friendli, super, 3]]",,,,,,,,,1.0,0.3333333333333333
15248,EricWhite74,2019-08-01,PreCovid,5,5.0,"[[room, present, 2], [breakfast, good, 1], [shop, less, 1], [shop, 'far less', 1], [shop, better, 1], [shop, orchard, 1]]",,,5.0,0.2,,,1.0,0.0,,
15249,Dennis P,2019-08-01,PreCovid,5,5.0,"[[night, close, 0]]",,,,,1.0,0.0,,,,
15250,Marco R,2019-08-01,PreCovid,5,3.0,"[[club, servic, 0], [time, certain, 4]]",1.0,0.21428571428571427,,,1.0,0.0,,,,
15251,KatieP,2019-07-01,PreCovid,5,5.0,"[[room, modern, 2], [room, clean, 2], [staff, best, 0]]",,,,,1.0,1.0,2.0,0.2833333333333333,,
15252,Nihad B,2019-08-01,PreCovid,5,3.0,[],,,,,,,,,,
15253,Pauline C,2019-08-01,PreCovid,5,4.0,"[[day, final, 4]]",1.0,0.0,,,,,,,,
15254,Piotr B,2019-08-01,PreCovid,5,5.0,"[[visit, great, 0], [time, nice, 4], [hotel, singapor, 1], [stay, wide, 0], [stay, varieti, 0]]",1.0,0.6,1.0,0.0,3.0,0.23333333333333336,,,,
15255,CJWand3rs,2019-08-01,PreCovid,5,2.0,"[[hotel, servic, 1], [room, nice, 2], [friendli, similar, 3]]",,,1.0,0.0,,,1.0,0.6,1.0,0.0
15256,Bruce548,2019-08-01,PreCovid,5,5.0,"[[time, best, 4], [time, singapor, 4], [hotel, best, 1]]",2.0,0.5,1.0,1.0,,,,,,
15257,Helen W,2019-07-01,PreCovid,5,5.0,"[[staff, amaz, 0], [room, cheapest, 2]]",,,,,1.0,0.0,1.0,0.0,,
15258,Nicholas N,2019-08-01,PreCovid,5,5.0,"[[wait, apologis, 4]]",1.0,0.0,,,,,,,,
15259,Fearless716797,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15260,Shakesnbake,2019-07-01,PreCovid,5,5.0,"[[go, 'pac greet', 2], [room, best, 2], [floor, high, 2], [room, cool, 2], [night, best, 0], [restaur, choic, 1], [restaur, main, 1], [room, tri, 2], [visit, rememb, 0], [visit, 'even rememb', 0], [visit, last, 0], [hotel, better, 1]]",,,3.0,0.2222222222222222,4.0,0.25,5.0,0.30199999999999994,,
15261,Jonny H,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15262,andynpg,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15263,SamanthaKnight13,2019-07-01,PreCovid,5,5.0,"[[stay, perfect, 0], [stay, singapor, 0], [shop, close, 1], [shop, big, 1]]",,,2.0,0.0,2.0,0.5,,,,
15264,Maddy1982,2019-08-01,PreCovid,5,5.0,"[[room, spectacular, 2], [room, next, 2], [room, morn, 2], [breakfast, spectacular, 1], [pool, sure, 2], [restaur, local, 1], [mall, cool, 1], [mall, mothercar, 1], [mall, 'also mothercar', 1]]",,,5.0,0.19,,,4.0,0.275,,
15265,lmqnyng,2019-08-01,PreCovid,5,5.0,"[[stay, recent, 0], [room, smooth, 2], [room, prompt, 2], [staff, great, 0]]",,,,,2.0,0.4,2.0,0.2,,
15266,Simarjeet B,2019-08-01,PreCovid,5,5.0,[],,,,,,,,,,
15267,Adele Tan,2019-08-01,PreCovid,5,4.0,"[[hotel, great, 1], [food, qualiti, 3], [food, 'well qualiti', 3]]",,,1.0,0.8,,,,,2.0,0.0
15268,Monicca M,2019-06-01,PreCovid,5,5.0,"[[hotel, great, 1], [hotel, servic, 1]]",,,2.0,0.4,,,,,,
15269,nicSouthampton,2019-07-01,PreCovid,5,5.0,"[[room, smooth, 2]]",,,,,,,1.0,0.4,,
15270,Linda O,2019-08-01,PreCovid,5,5.0,"[[night, singapor, 0], [time, first, 4], [breakfast, high, 1], [restaur, main, 1]]",1.0,0.25,2.0,0.16333333333333333,1.0,0.0,,,,
15271,Vd_2019Stade,2019-08-01,PreCovid,5,5.0,"[[stay, singapor, 0], [manag, 'ever thank', 4], [desk, special, 4], [love, particular, 0], [hotel, 'fourth stay', 1], [time, next, 4]]",3.0,0.11904761904761905,1.0,0.0,2.0,0.16666666666666666,,,,
15272,oliweraar,2019-07-01,PreCovid,5,5.0,"[[time, perfect, 4], [time, long, 4]]",2.0,0.475,,,,,,,,
15273,Eugene Q,2019-08-01,PreCovid,5,4.0,"[[room, great, 2]]",,,,,,,1.0,0.8,,
15274,nurazanazainol,2019-08-01,PreCovid,5,4.0,"[[room, servic, 2], [room, great, 2], [room, fresh, 2], [food, long, 3]]",,,,,,,3.0,0.3666666666666667,1.0,-0.05
15275,Tess3003,2019-08-01,PreCovid,5,5.0,"[[hotel, servic, 1], [hotel, impecc, 1]]",,,2.0,0.0,,,,,,
15276,Dawn L,2019-08-01,PreCovid,5,4.0,"[[view, breathtak, 0], [servic, singapor, 3], [mall, sever, 1], [floor, high, 2]]",,,1.0,0.0,1.0,0.0,1.0,0.16,1.0,0.0
